"relationship_id","relationship_name","is_hierarchical","defines_ancestry","reverse_relationship_id","relationship_concept_id"
Has specimen proc,Has specimen procedure (SNOMED),"0","0",Specimen proc of,44818775
Has specimen source,Has specimen source identity (SNOMED),"0","0",Specimen identity of,44818776
Has specimen morph,Has specimen source morphology (SNOMED),"0","0",Specimen morph of,44818777
Has specimen topo,Has specimen source topography (SNOMED),"0","0",Specimen topo of,44818778
Has specimen subst,Has specimen substance (SNOMED),"0","0",Specimen subst of,44818779
Has due to,Has due to (SNOMED),"0","0",Due to of,44818780
Has relat context,Has subject relationship context (SNOMED),"0","0",Relat context of,44818781
Has dose form,Has dose form (SNOMED),"0","0",Dose form of,44818782
Occurs after,Occurs after (SNOMED),"0","0",Occurs before,44818783
Has asso proc,Has associated procedure (SNOMED),"0","0",Asso proc of,44818784
Has dir proc site,Has direct procedure site (SNOMED),"0","0",Dir proc site of,44818785
Has indir proc site,Has indirect procedure site (SNOMED),"0","0",Indir proc site of,44818786
Has proc device,Has procedure device (SNOMED),"0","0",Proc device of,44818787
Has proc morph,Has procedure morphology (SNOMED),"0","0",Proc morph of,44818788
Has finding context,Has finding context (SNOMED),"0","0",Finding context of,44818789
Has proc context,Has procedure context (SNOMED),"0","0",Proc context of,44818790
Has temporal context,Has temporal context (SNOMED),"0","0",Temporal context of,44818791
Asso with finding,Associated with finding (SNOMED),"0","0",Finding asso with,44818792
Has surgical appr,Has surgical approach (SNOMED),"0","0",Surgical appr of,44818793
Using device,Using device (SNOMED),"0","0",Device used by,44818794
Using energy,Using energy (SNOMED),"0","0",Energy used by,44818795
Using subst,Using substance (SNOMED),"0","0",Subst used by,44818796
Using acc device,Using access device (SNOMED),"0","0",Acc device used by,44818797
Has clinical course,Has clinical course (SNOMED),"0","0",Clinical course of,44818798
Has route of admin,Has route of administration (SNOMED),"0","0",Route of admin of,44818799
Using finding method,Using finding method (SNOMED),"0","0",Finding method of,44818800
Using finding inform,Using finding informer (SNOMED),"0","0",Finding inform of,44818801
ICD9P - SNOMED eq,ICD-9-Procedure to SNOMED equivalent (OMOP),"0","0",SNOMED - ICD9P eq,44818802
CPT4 - SNOMED eq,CPT-4 to SNOMED equivalent (OMOP),"0","0",SNOMED - CPT4 eq,44818804
MedDRA - SNOMED eq,MedDRA to SNOMED equivalent (OMOP),"0","1",SNOMED - MedDRA eq,44818805
Has FDA-appr ind,Has FDA-approved drug indication (FDB),"1","0",Is FDA-appr ind of,44818806
Has off-label ind,Has off-label drug indication (FDB),"1","0",Is off-label ind of,44818807
Has CI,Has drug contra-indication (FDB),"0","0",Is CI of,44818808
ETC - RxNorm,ETC to RxNorm (FDB),"1","1",RxNorm - ETC,44818809
SMQ - MedDRA,SMQ consists of MedDRA (MedDRA),"0","0",MedDRA - SMQ,44818811
LOINC replaces,Concept replaces (LOINC),"0","0",LOINC replaced by,44818812
Precise ing of,Precise ingredient of (RxNorm),"0","0",Has precise ing,44818813
Tradename of,Tradename of (RxNorm),"0","0",Has tradename,44818814
RxNorm dose form of,Dose form of (RxNorm),"1","0",RxNorm has dose form,44818815
Form of,Form of (RxNorm),"0","0",Has form,44818816
RxNorm ing of,Ingredient of (RxNorm),"1","1",RxNorm has ing,44818817
Consists of,Consists of (RxNorm),"1","0",Constitutes,44818818
Contained in,Is contained in (RxNorm),"1","1",Contains,44818819
Reformulated in,Reformulated in (RxNorm),"0","1",Reformulation of,44818820
NDFRT dose form of,Dose form of (NDF-RT),"1","0",NDFRT has dose form,44818822
Induced by,Induced by (NDF-RT),"1","0",Induces,44818823
Diagnosed through,Diagnosed through (NDF-RT),"1","0",May diagnose,44818824
Physiol effect by,Physiological effect induced by (NDF-RT),"1","1",Has physio effect,44818825
CI physiol effect by,Contraindicating physiological effect induced by (NDF-RT),"1","0",Has CI physio effect,44818826
NDFRT ing of,Ingredient of (NDF-RT),"1","1",NDFRT has ing,44818827
CI chem class of,Contraindicating chemical class of (NDF-RT),"1","0",Has CI chem class,44818828
MoA of,Mechanism of action of (NDF-RT),"1","1",Has MoA,44818829
CI MoA of,Contraindicating mechanism of action of (NDF-RT),"1","0",Has CI MoA,44818830
PK of,Pharmacokinetics of (NDF-RT),"1","0",Has PK,44818831
May be treated by,May be treated by (NDF-RT),"1","1",May treat,44818832
CI by,Contraindicated by (NDF-RT),"1","0",CI to,44818833
May be prevented by,May be prevented by (NDF-RT),"1","1",May prevent,44818834
Metabolite of,Active metabolite of (NDF-RT),"1","0",Has metabolites,44818835
Metabolism of,Site of metabolism of (NDF-RT),"1","0",Has metabolism,44818836
Inhibits effect,Inhibits effect (NDF-RT),"1","0",May be inhibited by,44818837
Chem structure of,Chemical structure of (NDF-RT),"1","1",Has chem structure,44818838
RxNorm - NDFRT eq,RxNorm to NDF-RT equivalent (RxNorm),"0","0",NDFRT - RxNorm eq,44818839
Recipient cat of,Recipient category of (SNOMED),"0","0",Has recipient cat,44818840
Proc site of,Procedure site of (SNOMED),"0","0",Has proc site,44818841
Priority of,Priority of (SNOMED),"0","0",Has priority,44818842
Pathology of,Pathological process of (SNOMED),"0","0",Has pathology,44818843
Part of,Part of (SNOMED),"0","0",Has part of,44818844
Severity of,Severity of (SNOMED),"0","0",Has severity,44818845
Revision status of,Revision status of (SNOMED),"0","0",Has revision status,44818846
Access of,Access of (SNOMED),"0","0",Has access,44818847
Occurrence of,Occurrence of (SNOMED),"0","0",Has occurrence,44818848
Laterality of,Laterality of (SNOMED),"0","0",Has laterality,44818850
Interprets of,Interprets of (SNOMED),"0","0",Has interprets,44818851
Indir morph of,Indirect morphology of (SNOMED),"0","0",Has indir morph,44818852
ATC - RxNorm,ATC to RxNorm,"0","0",RxNorm - ATC,44818810
Is a,Is a,"0","0",Subsumes,44818821
CPT4 - SNOMED cat,CPT-4 to SNOMED category (OMOP),"1","0",SNOMED cat - CPT4,44818803
Indir device of,Indirect device of (SNOMED),"0","0",Has indir device,44818853
Specimen of,Specimen of (SNOMED),"0","0",Has specimen,44818854
Interpretation of,Interpretation of (SNOMED),"0","0",Has interpretation,44818855
Intent of,Intent of (SNOMED),"0","0",Has intent,44818856
Focus of,Focus of (SNOMED),"0","0",Has focus,44818857
Manifestation of,Definitional manifestation of (SNOMED),"0","0",Has manifestation,44818858
Active ing of,Active ingredient of (SNOMED),"0","0",Has active ing,44818859
Finding site of,Finding site of (SNOMED),"0","0",Has finding site,44818860
Episodicity of,Episodicity of (SNOMED),"0","0",Has episodicity,44818861
Dir subst of,Direct substance of (SNOMED),"0","0",Has dir subst,44818862
Dir morph of,Direct morphology of (SNOMED),"0","0",Has dir morph,44818863
Dir device of,Direct device of (SNOMED),"0","0",Has dir device,44818864
Causative agent of,Causative agent of (SNOMED),"0","0",Has causative agent,44818866
Asso morph of,Associated morphology of (SNOMED),"0","0",Has asso morph,44818867
Asso finding of,Associated finding of (SNOMED),"0","0",Has asso finding,44818868
Measurement of,Measurement method of (SNOMED),"0","0",Has measurement,44818869
Specimen proc of,Specimen procedure of (SNOMED),"0","0",Has specimen proc,44818873
Specimen identity of,Specimen source identity of (SNOMED),"0","0",Has specimen source,44818874
Specimen morph of,Specimen source morphology of (SNOMED),"0","0",Has specimen morph,44818875
Specimen topo of,Specimen source topography of (SNOMED),"0","0",Has specimen topo,44818876
