CONCEPT_ID,CONCEPT_NAME,NUM_PERSONS,PERCENT_PERSONS,RECORDS_PER_PERSON,PERCENT_PERSONS_NTILE,RECORDS_PER_PERSON_NTILE
4281516,Gingivitis,93,0.8532,4.3,1,1
40481087,Viral sinusitis,89,0.8165,2.4,1,1
133228,Dental caries,68,0.6238,1.6,1,1
4112343,Acute viral pharyngitis,66,0.6055,1.6,1,1
260139,Acute bronchitis,61,0.5596,1.5,1,1
4217975,Normal pregnancy,43,0.3945,3.5,1,1
320128,Essential hypertension,40,0.3670,1.0,1,2
439777,Anemia,35,0.3211,1.0,1,2
37018196,Prediabetes,35,0.3211,1.0,1,2
4144035,Acute infective cystitis,27,0.2477,1.0,1,2
443419,Laceration - injury,26,0.2385,1.2,1,1
28060,Streptococcal sore throat,25,0.2294,1.2,1,1
4122116,Tooth eruption disorder,25,0.2294,1.3,1,1
257012,Chronic sinusitis,24,0.2202,1.0,1,2
372328,Otitis media,23,0.2110,1.5,1,1
436096,Chronic pain,23,0.2110,1.0,1,2
81151,Sprain of ankle,22,0.2018,1.0,1,3
75053,Fracture of bone,19,0.1743,1.1,1,2
4132891,Chronic low back pain,19,0.1743,1.0,2,3
4234597,Misuses drugs,18,0.1651,1.1,2,2
4214746,Severe anxiety (panic),18,0.1651,1.4,2,1
436940,Metabolic syndrome X,17,0.1560,1.0,2,3
4001336,Concussion injury of brain,15,0.1376,1.1,2,2
4078393,Miscarriage in first trimester,15,0.1376,1.9,2,1
4218389,Whiplash injury to neck,14,0.1284,1.0,2,3
24818,Injury of neck,14,0.1284,1.0,2,3
437663,Fever,13,0.1193,1.0,2,3
78272,Sprain of wrist,13,0.1193,1.0,2,3
138790,Chronic periodontitis,12,0.1101,1.1,2,2
37311061,COVID-19,12,0.1101,1.0,2,3
37160948,Accretion on tooth,12,0.1101,1.1,2,2
4185932,Ischemic heart disease,12,0.1101,1.0,2,3
40318618,Complete miscarriage,12,0.1101,1.3,2,1
443614,Chronic kidney disease stage 1,12,0.1101,1.1,2,2
192279,Disorder of kidney due to diabetes mellitus,12,0.1101,1.0,2,3
45769905,Microalbuminuria due to type 2 diabetes mellitus,12,0.1101,1.0,2,3
443601,Chronic kidney disease stage 2,12,0.1101,1.1,3,2
435081,Abnormal findings diagnostic imaging heart+coronary circulat,12,0.1101,1.0,3,3
201603,Disorder of teeth AND/OR supporting structures,11,0.1009,1.1,3,2
134398,Periodontal disease,11,0.1009,1.0,3,3
138176,Acute gingivitis,11,0.1009,1.1,3,2
432867,Hyperlipidemia,11,0.1009,1.0,3,3
378001,Concussion with no loss of consciousness,10,0.0917,1.1,3,2
254761,Cough,10,0.0917,1.0,3,3
4296204,Epidermal burn of skin,10,0.0917,1.0,3,3
45757235,Dental caries on smooth surface penetrating into pulp,9,0.0826,1.0,3,3
43530622,Chronic neck pain,9,0.0826,1.0,3,3
45757499,Proteinuria due to type 2 diabetes mellitus,9,0.0826,1.0,3,4
201826,Type 2 diabetes mellitus,8,0.0734,1.0,3,4
444132,Injury of knee,8,0.0734,1.0,3,4
439393,Pre-eclampsia,8,0.0734,1.1,3,2
4283893,Sinusitis,8,0.0734,1.1,3,2
137613,Eclampsia in pregnancy,8,0.0734,1.2,3,1
4156265,Facial laceration,8,0.0734,1.0,3,4
443597,Chronic kidney disease stage 3,8,0.0734,1.0,4,4
4109685,Laceration of foot,8,0.0734,1.0,4,4
4289517,Loss of taste,7,0.0642,1.0,4,4
4294548,Acute bacterial sinusitis,7,0.0642,1.0,4,4
4120314,Hypertriglyceridemia,7,0.0642,1.0,4,4
4155034,Laceration of forearm,7,0.0642,1.0,4,4
45757234,Dental caries on smooth surface penetrating into dentin,7,0.0642,1.0,4,4
4285898,Polyp of colon,7,0.0642,1.0,4,4
443612,Chronic kidney disease stage 4,6,0.0550,1.0,4,4
4237458,Fracture of clavicle,6,0.0550,1.0,4,4
4262136,Blighted ovum,6,0.0550,1.3,4,1
4113008,Laceration of hand,6,0.0550,1.0,4,4
40479768,Injury of anterior cruciate ligament,5,0.0459,1.0,4,4
4059173,Fracture of ankle,5,0.0459,1.0,4,4
442752,Muscle pain,5,0.0459,1.0,4,4
40405599,Fibromyalgia,5,0.0459,1.0,4,5
77074,Pain of joint,5,0.0459,1.0,4,5
137016,Retained dental root,5,0.0459,1.0,4,5
43530652,Chronic intractable migraine without aura,5,0.0459,1.0,5,5
4224646,Miscarriage in second trimester,4,0.0367,1.0,5,5
4147326,Sore throat,4,0.0367,1.0,5,5
45768754,Generalized chronic periodontitis,4,0.0367,1.0,5,5
199076,Tubal pregnancy,4,0.0367,1.0,5,5
258780,Emphysematous bronchitis,4,0.0367,1.0,5,5
4056621,Recurrent urinary tract infection,4,0.0367,1.0,5,5
4134304,Fracture subluxation of wrist,4,0.0367,1.0,5,5
4079750,Osteoarthritis of knee,4,0.0367,1.0,5,5
4158346,Respiratory distress,3,0.0275,1.0,5,5
45757232,Dental caries on pit and fissure surface penetrating into dentin,3,0.0275,1.0,5,5
255848,Pneumonia,3,0.0275,1.0,5,5
437390,Hypoxemia,3,0.0275,1.0,5,5
4079749,Osteoarthritis of hip,3,0.0275,1.0,5,5
37395737,Localized moderate chronic periodontitis,3,0.0275,1.0,5,5
4123726,Impacted tooth,3,0.0275,1.0,5,6
37397422,Asymptomatic periapical periodontitis,3,0.0275,1.0,5,6
132797,Sepsis,3,0.0275,1.0,5,6
